config,family,tier,L,stability,env_mean_db,env_max_db,spur_worst_db,nmr_worst_db,lsd_engine_db,lsd_engine_3utt_db,click_ratio,lsd_sys_db,estoi_orig,crest_delta_db,warpq_ref,warpq_orig,warpq_valid,nisqa_mos,dns_ovrl,mhz_p1,mhz_p2,cost_source,ram_b,flash_b,verdict,latency_note,notes
osc-bank L=20,engine,0,20,by-construction (no feedback),0,0,-94.3,-88.6,4.09,3.69,2.66,,,,,,,,,1.28,23.48,asm-audit,136,1112,winner-P3,"streaming, no OLA; ~frame latency only",P3 winner; transparent to model; phase stage D3 disappears
osc-bank L=40,engine,0,40,by-construction (no feedback),0,0,-94.3,-88.6,4.09,3.69,2.66,,,,,,,,,2.57,40.65,model,256,1112,winner-P3,"streaming, no OLA; ~frame latency only",P3 winner; transparent to model; phase stage D3 disappears
osc-bank L=80,engine,0,80,by-construction (no feedback),0,0,-94.3,-88.6,4.09,3.69,2.66,,,,,,,,,5.14,93.58,asm-audit,496,1112,winner-P3,"streaming, no OLA; ~frame latency only",P3 winner; transparent to model; phase stage D3 disappears
impulse-iir,engine,2,any,by-construction (poles from bitstream-ordered LSP; float),1.17,6.62,-32.5,-8.4,5.67,5.5,2.77,,,,,,,,,0.41,10.76,model,50,800,winner-P1,"streaming, no OLA; ~frame latency only","P1 winner; cost independent of L; quality ceiling is LPC-10 model, not numeric"
impulse-iir-csd-direct-3t,engine,,any,"unstable (67-76% pre-fixup, 3/21 diverged)",,,,,5.98,,2.92,,,,,,,,,0.74,0.74,model,61,900,killed,"streaming, no OLA; ~frame latency only",KILLED: direct-form order-10 cannot carry 2-3-term CSD
impulse-iir-csd-sos (jit),engine,2,any,by-testing (SOS triangle + gamma-retry),1.36,7.48,-32,1.7,5.91,5.99,2.74,,,,,,,,,0.78,0.97,asm-audit,361,900,winner-P2-with-prescriptions,"streaming, no OLA; ~frame latency only","P2 winner-with-prescriptions; 92 cyc/smp static asm + 2100 cyc/subframe; pole pairs NOT free from LSP (cheap conversions cost 3.6-6.2 dB SD) -> bake SOS codebook offline or use G8/lattice. Q15: naive int16 state = tonal limit cycles up to 265 LSB, SNR -7.5 dB @ -48 dBFS; round + >=8 guard bits (int32 state) -> SNR 46-64 dB, idle < 0.4 LSB (q15_idle.csv)"
impulse-iir-csd-sos (interp),engine,2,any,by-testing (SOS triangle + gamma-retry),1.36,7.48,-32,1.7,5.91,5.99,2.74,,,,,,,,,0.78,2.64,asm-audit,91,900,winner-P2-with-prescriptions,"streaming, no OLA; ~frame latency only","P2 winner-with-prescriptions; 308 cyc/smp static asm + 1600 cyc/subframe; pole pairs NOT free from LSP (cheap conversions cost 3.6-6.2 dB SD) -> bake SOS codebook offline or use G8/lattice. Q15: naive int16 state = tonal limit cycles up to 265 LSB, SNR -7.5 dB @ -48 dBFS; round + >=8 guard bits (int32 state) -> SNR 46-64 dB, idle < 0.4 LSB (q15_idle.csv)"
kl-lattice-csd3,engine,2,any,by-construction (|k|<1),1.25,6.96,-32.5,-8.9,5.69,5.52,2.79,,,,,,,,,2.07,1.97,asm-audit,75,1000,contender-P2,"streaming, no OLA; ~frame latency only",CONTENDER P2: best SD per CSD term (0.20 dB med); setup = a->k 10 soft-div/subframe dominates cost; P2 asm-audited round-4 (coverage): model was 2.07
lsp-allpass-csd3,engine,2,any,by-construction (|cos w|<1 + bitstream LSP order),1.43,6.92,-31.6,-7.5,5.75,5.53,2.74,,,,,,,,,1.51,1.86,asm-audit,90,1000,recommended-P2,"streaming, no OLA; ~frame latency only","RECOMMENDED P2 (G8): zero conversion from bitstream (cos LSP as-is), best worst-case NMR on stress; needs LSP interleave gap >=2^-9 in codebook; Q15 twin not yet built (structural argument only); P2 asm-audited round-4 (coverage): model was 1.51"
lsp-allpass-csd2,engine,,any,by-construction,3.85,27.61,-1.2,11.2,7.15,,2.63,,,,,,,,,,,,,,killed,"streaming, no OLA; ~frame latency only","KILLED: 2 terms not enough (env max 27.6, spur -1.2)"
svf-csd3,engine,,any,by-construction (f/q clamp),1.41,7.43,-33.4,-8.3,6.09,,3.83,,,,,,,,,1.24,1.24,model,61,950,killed,"streaming, no OLA; ~frame latency only",KILLED P2: no advantage over lattice/G8; sqrt per section in setup
parallel-sos-csd3,engine,,any,by-testing (gamma-retry),1.26,8,-32.3,-7.5,6.79,,4.23,,,,,,,,,1.99,1.99,model,110,1100,contender (H1 noise carrier),"streaming, no OLA; ~frame latency only",CONTENDER only as H1-noise carrier; residue solve per frame
ks-period-iir,engine,,any,by-construction (float),1.2,6.82,-32.1,-8.3,5.84,,2.72,,,,,,,,,,,,,,killed,"streaming, no OLA; ~frame latency only","KILLED: = impulse-iir computed per period, no win anywhere"
parallel-sos-noise (G3+H1),engine,,any,by-testing (gamma-retry),3.96,28.36,-24.3,2.6,7.73,,4.0,,,,,,no,,,1.99,1.99,model,110,1100,deferred->conditional (see par-noise-2000),"streaming, no OLA; ~frame latency only",cost = parallel-sos-csd3 + LFSR ~3 ops/smp; env/spur/NMR shown for transparency but classic judges have NO jurisdiction (H1); perceptual verdict via par-noise-* rows below
meander-sq L=20,engine,,20,by-construction (feedforward),6.18,42.31,-16.4,19.2,8.53,,4.88,,,,,,,,,0.98,0.98,model,120,700,killed,"streaming, no OLA; ~frame latency only",KILLED: aliasing of naive waves (proven by bl-exact); intelligibility floor only (tri)
meander-sq L=40,engine,,40,by-construction (feedforward),6.18,42.31,-16.4,19.2,8.53,,4.88,,,,,,,,,1.96,1.96,model,240,700,killed,"streaming, no OLA; ~frame latency only",KILLED: aliasing of naive waves (proven by bl-exact); intelligibility floor only (tri)
meander-sq L=80,engine,,80,by-construction (feedforward),6.18,42.31,-16.4,19.2,8.53,,4.88,,,,,,,,,3.93,3.93,model,480,700,killed,"streaming, no OLA; ~frame latency only",KILLED: aliasing of naive waves (proven by bl-exact); intelligibility floor only (tri)
meander-tri L=20,engine,,20,by-construction (feedforward),6.66,40.93,-29.9,17.4,8.43,,3.21,,,,,,,,,1.3,1.3,model,120,700,killed,"streaming, no OLA; ~frame latency only",KILLED: aliasing of naive waves (proven by bl-exact); intelligibility floor only (tri)
meander-tri L=40,engine,,40,by-construction (feedforward),6.66,40.93,-29.9,17.4,8.43,,3.21,,,,,,,,,2.6,2.6,model,240,700,killed,"streaming, no OLA; ~frame latency only",KILLED: aliasing of naive waves (proven by bl-exact); intelligibility floor only (tri)
meander-tri L=80,engine,,80,by-construction (feedforward),6.66,40.93,-29.9,17.4,8.43,,3.21,,,,,,,,,5.21,5.21,model,480,700,killed,"streaming, no OLA; ~frame latency only",KILLED: aliasing of naive waves (proven by bl-exact); intelligibility floor only (tri)
meander-mip-nn L=20,engine,,20,by-construction (feedforward),2.63,30.41,-33.8,8.9,6.25,,3.73,,,,,,,,,1.46,20.5,model,136,2876,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); mul is back: B*table load; solve setup kept
meander-mip-nn L=40,engine,,40,by-construction (feedforward),2.63,30.41,-33.8,8.9,6.25,,3.73,,,,,,,,,2.92,41,model,256,2876,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); mul is back: B*table load; solve setup kept
meander-mip-nn L=80,engine,,80,by-construction (feedforward),2.63,30.41,-33.8,8.9,6.25,,3.73,,,,,,,,,5.85,82.01,model,496,2876,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); mul is back: B*table load; solve setup kept
meander-mip-lin L=20,engine,,20,by-construction (feedforward),1.03,61.56,-53.6,-15.4,5.13,,3.88,,,,,,,,,2.26,40.34,model,136,2976,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); linear interp adds 2nd mul per basis
meander-mip-lin L=40,engine,,40,by-construction (feedforward),1.03,61.56,-53.6,-15.4,5.13,,3.88,,,,,,,,,4.52,80.68,model,256,2976,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); linear interp adds 2nd mul per basis
meander-mip-lin L=80,engine,,80,by-construction (feedforward),1.03,61.56,-53.6,-15.4,5.13,,3.88,,,,,,,,,9.05,161.37,model,496,2976,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); linear interp adds 2nd mul per basis
meander-blep L=20,engine,,20,by-construction (feedforward),2.51,33.98,-25.9,2.6,5.57,,4.24,,,,,,,,,1.82,21.81,model,176,900,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); f0=200: 21 blep-mults/smp; recips need L soft-divs/frame
meander-blep L=40,engine,,40,by-construction (feedforward),2.51,33.98,-25.9,2.6,5.57,,4.24,,,,,,,,,3.62,42.66,model,336,900,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); f0=100: 41 blep-mults/smp; recips need L soft-divs/frame
meander-blep L=80,engine,,80,by-construction (feedforward),2.51,33.98,-25.9,2.6,5.57,,4.24,,,,,,,,,7.23,84.35,model,656,900,killed,"streaming, no OLA; ~frame latency only",defense failed: anti-aliasing brings mul back (wavetable synthesis); f0=50: 81 blep-mults/smp; recips need L soft-divs/frame
meander-bl-exact,engine,,any,by-construction (feedforward),0,0,-94.1,-80.6,5.14,,3.94,,,,,,,,,,,,,,posthumous-exoneration (no cheap form),"streaming, no OLA; ~frame latency only","band-limited ideal proves the killer was aliasing (0.00 dB, spurs at window floor); no cheap implementation exists — cost axes empty"
